pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Healthcare,Economy,Healthcare,0.1363394442447276,0.20266366808192934,-12,89,fallback_all_lags,False,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Healthcare
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Guns control,Economy,Guns control,0.25411175942174424,0.016261964823269245,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Guns control
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Immigration,Abortion,Immigration,0.4086224281854763,4.337613635030089e-05,14,94,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Immigration,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Wokeness,Abortion,Wokeness,0.35913716244220534,0.0003264173416447954,13,96,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Wokeness,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Democratic concerns,Abortion,Democratic concerns,0.34830505195384837,0.00027153179625437996,-4,105,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Abortion,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Economy,Abortion,Economy,0.4133258957472816,2.3371772801330392e-05,12,98,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Economy,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Abortion,Abortion,Abortion,0.37625297533683416,7.631927347634373e-05,-4,105,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Abortion,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,National security and foreign policy,Abortion,National security and foreign policy,0.33810296043052296,0.0003683522659442432,-3,107,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Abortion,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Healthcare,Abortion,Healthcare,-0.15237610192020948,0.16386726232369817,-14,85,fallback_all_lags,False,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Abortion,Healthcare
mid_right,Mid–Right,Public Reaction,Donald Trump,Abortion,Guns control,Abortion,Guns control,0.3862840916145792,3.9649506836890145e-05,-3,107,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Abortion,Guns control
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Immigration,National security and foreign policy,Immigration,0.1502455235755345,0.16991085315629073,-14,85,fallback_all_lags,False,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,National security and foreign policy,Immigration
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Wokeness,National security and foreign policy,Wokeness,0.38404292667788775,0.00028511180190406686,-14,85,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,National security and foreign policy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,National security and foreign policy,Democratic concerns,National security and foreign policy,Democratic concerns,0.4413768980022547,2.3546607650527997e-05,-14,85,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,National security and foreign policy,Democratic concerns
